Date,Price,Volume,Market Cap
2024-06-28,61646.05,121588734902,1208391866171
2024-06-27,60761.24,101757636172,1210544289846
2024-06-26,61789.98,105031247616,1208414751820
2024-06-25,60382.81,88283549512,1211100973277
2024-06-24,63290.43,68539452717,1265327442872
2024-06-23,64272.8,81681735156,1266810805612
2024-06-22,64097.29,91033072063,1265116185549
2024-06-21,64881.08,87006383289,1286558739331
2024-06-20,64950.06,99378477711,1283762366870
2024-06-19,65098.92,105422992603,1284756308732
2024-06-18,66491.14,86686509664,1304603392087
2024-06-17,66661.05,76465564003,1309092267960
2024-06-16,66198.06,91220447415,1304560407518
2024-06-15,66052.46,98947309663,1310505810040
2024-06-14,66771.55,111600052162,1327368997156
2024-06-13,68270.22,107355304477,1343632342574
2024-06-12,67345.04,104852826747,1330195781291
2024-06-11,69519.27,87471717054,1371118783241
2024-06-10,69657.34,83313418919,1368607662335
2024-06-09,69316.65,103536574871,1367430894796
2024-06-08,69375.8,106131421601,1392114729076
2024-06-07,70783.1,102828546868,1399120308239
2024-06-06,71131.93,111291911314,1399965465232
2024-06-05,70599,104620567379,1371654872745
2024-06-04,68808.7,97424053242,1358969608046
2024-06-03,67781.47,81813108242,1336553470838
2024-06-02,67747.95,92028601063,1333976457745
2024-06-01,67576.21,99893789668,1339986947811
2024-05-31,68375.98,99641779374,1343819961096
2024-05-30,67665.53,100890987338,1339400149299
2024-05-29,68397.44,104645607356,1345178043202
2024-05-28,69446.22,94374859982,1362667712503
2024-05-27,68552.6,88625104777,1359101408887
2024-05-26,69264.99,98300038041,1359031064074
2024-05-25,68534.95,118683656765,1338587944924
2024-05-24,67923.97,111337390564,1355117160177
2024-05-23,69224.99,116100040102,1375969502045
2024-05-22,70104.4,140367348767,1391372264672
2024-05-21,71418.17,97690643208,1332128360714
2024-05-20,66347.05,84416848119,1317072243306
2024-05-19,66914.58,93775704474,1318742540272
2024-05-18,67004.04,102654831474,1305186025781
2024-05-17,65249.97,115706690819,1295884353241
2024-05-16,66247.62,100350924308,1252031695563
2024-05-15,61602.22,96842998394,1220161645334
2024-05-14,62917.18,90734781782,1227838802090
2024-05-13,61549.96,76144346129,1204705412193
2024-05-12,60784.24,93352867291,1199924672983
2024-05-11,60887.95,99762590014,1223121748878
2024-05-10,63110.01,96341217242,1216578566313
2024-05-09,61220.05,96197759748,1226434341449
2024-05-08,62380.43,102306726087,1250327049946
2024-05-07,63197.19,95271216372,1258594253322
2024-05-06,64040.05,89492687291,1255440548192
2024-05-05,63880.04,105789371881,1249084852609
2024-05-04,62799.97,104770327111,1193959256701
2024-05-03,59134.5,131337771060,1149458939402
2024-05-02,58266.04,158987531623,1148605019976
2024-05-01,60761.95,143257461670,1217179842089
2024-04-30,63817.97,128891628761,1235747511310
2024-04-29,63059.25,123944431129,1254089570983
2024-04-28,63483.13,131487879046,1242285861274
2024-04-27,63806.23,144565512002,1262998886775
2024-04-26,64495.27,149197868904,1264220760052
2024-04-25,64291.07,138473620398,1294488949359
2024-04-24,66386.61,140862129941,1308575919848
2024-04-23,66818.89,140072513379,1299703184792
2024-04-22,64896.87,132657361140,1278730196089
2024-04-21,64857.99,153741041091,1263724827950
2024-04-20,63965.95,179626575261,1254719056208
2024-04-19,63418,162208332352,1228285021968
2024-04-18,61309.97,159286109759,1230614180996
2024-04-17,63679.78,164819105083,1239607370905
2024-04-16,63496.91,167200393537,1278738485054
2024-04-15,65582.95,193358712996,1263089676494
2024-04-14,64255.94,170782112550,1309283274421
2024-04-13,67208.21,156471030176,1367866430345
2024-04-12,70112.05,163489095574,1386263944819
2024-04-11,70513.6,158897314059,1361469272569
2024-04-10,69198.22,132405536997,1380410966414
2024-04-09,71631.77,53155607159,1398900186131
2024-04-08,69388.74,38663785982,1365423108443
2024-04-07,68904.86,48035020047,1338711116888
2024-04-06,67928.77,65431097629,1327731241833
2024-04-05,68461.23,54093502745,1316260215044
2024-04-04,66074.16,72683290299,1298762245947
2024-04-03,65448.35,76080801184,1304804603708
2024-04-02,69731.26,48213190569,1370832809193
2024-04-01,71216.98,33673828686,1385292796667
2024-03-31,69674.78,39661443299,1375968719916
2024-03-30,69850.52,51441857849,1377166578767
2024-03-29,70702.74,67566089681,1384857408884
2024-03-28,69529.85,66019648699,1372129179584
2024-03-27,70059.97,73479585405,1383063448066
2024-03-26,69901.99,59756954838,1343279136900
2024-03-25,67246.83,45024109439,1282255280833
2024-03-24,64238.03,64374279823,1269372119564
2024-03-23,63567.63,70777227682,1270908236263
2024-03-22,65476.17,95859014037,1310224116989
2024-03-21,67854.02,115422036266,1255442147261
2024-03-20,61981.15,102161122551,1265125254133
2024-03-19,67711.55,70679197776,1331893732824
2024-03-18,68650.08,84278484629,1318367503673
2024-03-17,65286.52,91914290138,1341113353923
2024-03-16,69532.18,124937923880,1348026241710
2024-03-15,71432.39,75422276667,1418447482924
2024-03-14,73087.95,91883183842,1428493117553
2024-03-13,71473.86,89236459327,1408051567913
2024-03-12,72094.44,79127508760,1394362835263
2024-03-11,68949.74,45856212990,1361165877895
2024-03-10,68513.59,74950745923,1341238544764
2024-03-09,68202.87,71117263449,1329444482210
2024-03-08,66903.82,83044141080,1312006746585
2024-03-07,66137.13,148737307792,1294560667486
2024-03-06,63971.07,119133322329,1300021759778
2024-03-05,68208.36,72073139984,1283150500900
2024-03-04,63099.99,39212044008,1221676759562
2024-03-03,62004.02,56208251753,1217240504926
2024-03-02,62481.07,85949940919,1214945932690
2024-03-01,61256.01,144808756615,1219195883104
2024-02-29,62497.28,96658605621,1164352769393
2024-02-28,57029.24,81248319760,1109066095680
2024-02-27,54454.91,36684525443,1027264715057
2024-02-26,51743.97,26241629483,1013995348729
2024-02-25,51549.1,32711036692,1004422666127
2024-02-24,50830.04,39493253625,1003260328012
2024-02-23,51339.49,46683002707,1012661011106
2024-02-22,51833,52113128145,1010544584034
2024-02-21,52278.15,44201495419,1018475229648
2024-02-20,51739.37,32200605555,1023293619718
2024-02-19,52119.06,31556666393,1015649368167
2024-02-18,51673.99,35135235104,1013170389723
2024-02-17,52121.96,47658101738,1021088711167
2024-02-16,51888.33,53044283556,1021856975705
2024-02-15,51819.74,51783098559,997626003493
2024-02-14,49741.98,53147557899,973819271706
2024-02-13,50017.36,38819283556,957144343059
2024-02-12,48269.68,30907482421,944692155565
2024-02-11,47760.23,45271931173,929124796535
2024-02-10,47093.93,47447893767,917726348825
2024-02-09,45315.99,38856090038,880939468191
2024-02-08,44328.04,27969351851,849023765895
2024-02-07,43105.15,29871680562,842840463067
2024-02-06,42713.66,27480018871,839558061795
2024-02-05,42609.98,21519856715,841313552908
2024-02-04,42970.67,26216205483,845602637891
2024-02-03,43189.15,33029151047,844821150972
2024-02-02,43069.45,39172604290,832824885942
2024-02-01,42611.24,36370523790,841843946109
2024-01-31,42915.56,35740198571,851486850189
2024-01-30,43269.41,27579132707,832947409697
2024-01-29,42018.7,24000943679,828479396543
2024-01-28,42112.7,33407592486,820243708214
2024-01-27,41866.1,32730718807,802800029935
2024-01-26,39929.16,30621419031,783521443599
2024-01-25,40145.83,41600345362,782820543861
2024-01-24,39873.77,47274722656,773218301081
2024-01-23,39516.98,28994460405,798736677778
2024-01-22,41549.91,17447807044,817357256028
2024-01-21,41668.99,34834893316,815915438030
2024-01-20,41627.16,43198521354,809636541743
2024-01-19,41296.92,33318931891,828379582066
2024-01-18,42764.71,37442085606,837566559077
2024-01-17,43137.2,35463632026,841689798259
2024-01-16,42611.43,33296324461,835266702095
2024-01-15,41737.9,25499524217,838073690303
2024-01-14,42840.02,59406086861,840027634578
2024-01-13,42896.05,64852569078,883627165910
2024-01-12,46356.96,86303502417,912535940471
2024-01-11,46564.21,62513826925,897555054710
2024-01-10,46082.08,111651624911,913747261797
2024-01-09,46900.01,122339226652,878540287996
2024-01-08,43850.46,96321377330,863408009468
2024-01-07,43941.78,116149852095,858379671687
2024-01-06,44112.11,142404301719,857110992813
2024-01-05,44188.15,163824018762,851408939294
2024-01-04,42818.03,99309168813,860140132319
2024-01-03,44957.63,46637934136,885978270304
2024-01-02,44122.03,25433295177,838286312920
2024-01-01,42224.09,25914047573,831346753476
2023-12-31,42198.85,34758190469,824740192163
2023-12-30,42057.41,35252318490,830544031611
2023-12-29,42592.06,35332722355,840522742625
2023-12-28,43384.25,33682997794,838520902844
2023-12-27,42519.8,32196800353,836347069498
2023-12-26,43613.88,27508254037,848441838528
2023-12-25,43017.9,20957937915,854039074598
2023-12-24,43727.32,26869962875,855108728768
2023-12-23,43948.89,35915195711,857462782523
2023-12-22,43849.41,41877316815,856030268805
2023-12-21,43645.95,36568319532,845239084363
2023-12-20,42300.16,40146496148,836102666655
2023-12-19,42666.06,33206375855,810386601170
2023-12-18,41448.75,24395333766,821144424791
2023-12-17,42244.61,29560084615,827617815826
2023-12-16,41953.42,38104663006,831217872976
2023-12-15,43004.17,42926037867,838437716679
2023-12-14,42906.87,38015896252,814460789293
2023-12-13,41512.61,49053492392,813032395077
2023-12-12,41221.12,43928078511,820322454959
2023-12-11,43762.68,25488738148,857365108732
2023-12-10,43701.25,34921098824,861239322685
2023-12-09,44199.33,39721599933,854157532256
2023-12-08,43249.99,41066694506,852042865991
2023-12-07,43714.53,58528532348,858274492505
2023-12-06,44085.68,49546230774,829406274555
2023-12-05,41995.8,45256074426,810450559160
2023-12-04,39941.07,26273103178,773508970571
2023-12-03,39460,28316481430,760724501152
2023-12-02,38658.06,29151216401,751122334407
2023-12-01,37715.02,28133746903,738851273635
2023-11-30,37808.01,68380861882,742003659760
2023-11-29,37776.89,75091400151,731986258444
2023-11-28,37268.83,61605209279,726547725193
2023-11-27,37478.11,37743660123,735027077819
2023-11-26,37785.84,69847001048,738200847957
2023-11-25,37710.8,63986552220,735930741871
2023-11-24,37294.4,81193828612,729529881565
2023-11-23,37448.77,106117889807,716685906516
2023-11-22,35942.19,84336682277,725823303790
2023-11-21,37465.89,60386651680,728818053938
2023-11-20,37388.51,40315796738,716132174479
2023-11-19,36559.41,65134167064,713195256458
2023-11-18,36514.01,89418490633,710589249458
2023-11-17,36223.54,101359750587,721905113976
2023-11-16,37863.66,87035457584,708441217470
2023-11-15,35540.04,73108318930,707820843430
2023-11-14,36531.68,52392523298,720408941285
2023-11-13,37035.03,51889143951,724383239456
2023-11-12,37082.17,76649917042,724286375497
2023-11-11,37321.14,122296331786,721680330268
2023-11-10,36775.23,108061382246,714985483317
2023-11-09,35680.29,74255766024,691477829976
2023-11-08,35423.24,60287777345,683054397902
2023-11-07,35019.43,63182615986,683662224127
